2026-09-18T23:42	A2	MED_USE_QUOTE=0 MED_MULTI_FALLBACK=qoverlap	MED_DIR=/workspace/med-attach/medical MED_LLM_URL=http://127.0.0.1:8001/v1 MED_MULTI_FALLBACK=qoverlap MED_PORT=9054 MED_SPAN_ONSET_SENTSTART=1 MED_USE_QUOTE=0 	SCORE 0.7507598423946102 errors=0 url=https://5g74a0atgzlxwf-9054.proxy.runpod.net/predict
2026-09-18T23:44	A3	MED_USE_QUOTE=0 MED_SPAN_COVERAGE_NEXT=1	MED_DIR=/workspace/med-attach/medical MED_LLM_URL=http://127.0.0.1:8001/v1 MED_PORT=9054 MED_SPAN_COVERAGE_NEXT=1 MED_SPAN_ONSET_SENTSTART=1 MED_USE_QUOTE=0 	SCORE 0.7612313210735333 errors=0 url=https://5g74a0atgzlxwf-9054.proxy.runpod.net/predict
2026-09-18T23:46	A4	MED_USE_QUOTE=0 MED_UNIT_MODE=clause	MED_DIR=/workspace/med-attach/medical MED_LLM_URL=http://127.0.0.1:8001/v1 MED_PORT=9054 MED_SPAN_ONSET_SENTSTART=1 MED_UNIT_MODE=clause MED_USE_QUOTE=0 	SCORE 0.7450511248836065 errors=0 url=https://5g74a0atgzlxwf-9054.proxy.runpod.net/predict
2026-09-18T23:48	A5	MED_USE_QUOTE=0 MED_UNIT_MODE=phrase	MED_DIR=/workspace/med-attach/medical MED_LLM_URL=http://127.0.0.1:8001/v1 MED_PORT=9054 MED_SPAN_ONSET_SENTSTART=1 MED_UNIT_MODE=phrase MED_USE_QUOTE=0 	SCORE 0.7429043989240799 errors=0 url=https://5g74a0atgzlxwf-9054.proxy.runpod.net/predict
2026-09-18T23:51	A6	MED_USE_QUOTE=0 MED_SPAN_COVERAGE_NEXT=1 MED_SPAN_SHIFT_E=-0.2	MED_DIR=/workspace/med-attach/medical MED_LLM_URL=http://127.0.0.1:8001/v1 MED_PORT=9054 MED_SPAN_COVERAGE_NEXT=1 MED_SPAN_ONSET_SENTSTART=1 MED_SPAN_SHIFT_E=-0.2 MED_USE_QUOTE=0 	SCORE 0.7441008192045571 errors=0 url=https://5g74a0atgzlxwf-9054.proxy.runpod.net/predict
2026-09-18T23:53	A7	MED_USE_QUOTE=0 MED_SPAN_COVERAGE_NEXT=1 MED_ALLOW_SHIFT_WITH_ONSET=1 MED_SPAN_SHIFT_S=0.3	MED_ALLOW_SHIFT_WITH_ONSET=1 MED_DIR=/workspace/med-attach/medical MED_LLM_URL=http://127.0.0.1:8001/v1 MED_PORT=9054 MED_SPAN_COVERAGE_NEXT=1 MED_SPAN_ONSET_SENTSTART=1 MED_SPAN_SHIFT_S=0.3 MED_USE_QUOTE=0 	SCORE 0.7216420794820049 errors=0 url=https://5g74a0atgzlxwf-9054.proxy.runpod.net/predict
2026-09-18T23:55	A8	MED_USE_QUOTE=0 MED_SPAN_COVERAGE_NEXT=1 MED_SPAN_ONSET_SENTSTART=0	MED_DIR=/workspace/med-attach/medical MED_LLM_URL=http://127.0.0.1:8001/v1 MED_PORT=9054 MED_SPAN_COVERAGE_NEXT=1 MED_SPAN_ONSET_SENTSTART=0 MED_USE_QUOTE=0 	SCORE 0.7534706718148031 errors=0 url=https://5g74a0atgzlxwf-9054.proxy.runpod.net/predict
2026-09-18T23:56	A9	MED_USE_QUOTE=0 MED_SPAN_COVERAGE_NEXT=1 MED_SPAN_SNAP=1	MED_DIR=/workspace/med-attach/medical MED_LLM_URL=http://127.0.0.1:8001/v1 MED_PORT=9054 MED_SPAN_COVERAGE_NEXT=1 MED_SPAN_ONSET_SENTSTART=1 MED_SPAN_SNAP=1 MED_USE_QUOTE=0 	SCORE 0.7432116061884662 errors=0 url=https://5g74a0atgzlxwf-9054.proxy.runpod.net/predict
2026-09-18T23:58	A3b	MED_USE_QUOTE=0 MED_SPAN_COVERAGE_NEXT=1	MED_DIR=/workspace/med-attach/medical MED_LLM_URL=http://127.0.0.1:8001/v1 MED_PORT=9054 MED_SPAN_COVERAGE_NEXT=1 MED_SPAN_ONSET_SENTSTART=1 MED_USE_QUOTE=0 	SCORE 0.751659567702088 errors=0 url=https://5g74a0atgzlxwf-9054.proxy.runpod.net/predict
2026-09-19T10:15	SC5	MED_USE_QUOTE=0 MED_SPAN_COVERAGE_NEXT=1 MED_SC_N=5	MED_DIR=/workspace/med-attach/medical MED_LLM_URL=http://127.0.0.1:8001/v1 MED_PORT=9054 MED_SC_N=5 MED_SPAN_COVERAGE_NEXT=1 MED_USE_QUOTE=0 	SCORE 0.7561176754074699 errors=0 url=https://5g74a0atgzlxwf-9054.proxy.runpod.net/predict
